"marker_name","marker_id","marker_mean","marker_std"
"GLUT1",352,0.052365527481559,0.100218931793892
"GLYCOPHORIN_A",354,0.002117565516497,0.009201463809204
"GZMA",358,0.003653835508933,0.006944976195842
"GZMB",360,0.021287770308232,0.036291930176591
"HEPATOCYTE_AG",362,0.001111210616943,0.010066535091
"HER2",364,0.002635053845242,0.002679981377219
"HLA_1",366,0.036942308017264,0.059591584018587
"HLA_DR",370,0.056301066889624,0.094876476796703
"HLA_DRA",372,0.026980513843201,0.041648933380307
"HLA_DRBPB",374,0.027905227725462,0.074090470102485
"HLA1",378,0.114992345426381,0.08316270369293
"HSP27",380,0.015527721006166,0.034043239114323
"IBA1",382,0.005135236388682,0.026786496765759
"ICAM1",384,0.01176742429409,0.022187090600812
"ICOS",386,0.011465175140698,0.020430644281534
"IDH",388,0.015654977763157,0.033794447658738
"IDO1",390,0.048157948134669,0.067392963538096
"IGA1",394,0.004673097113259,0.014111488041038
"IGA2",396,0.000964105002089,0.006549529280543
"IGD",398,0.043151765774787,0.059431699971286
"IGM",400,0.010174119013509,0.035283651552224
"IL-1B",404,0.008842252962429,0.014939671018486
"INOS",406,0.004399947337629,0.009705772239059
"LAG3",410,0.034682313925735,0.056880836131372
"LAMINA",412,0.069648613849737,0.06177147912763
"LANGERIN",414,0.001258990304207,0.001170087166197
"LMP1",416,0.055215024770227,0.040604333530933
"LUMICAN",418,0.04104856713043,0.063713143293651
"LYSOZYME",420,0.003527325338842,0.003124789778757
"LYVE-1",422,0.005114890920125,0.017001488638587
"LYVE1",424,0.006658073493285,0.020380966688625
"MCT",428,0.018428210119598,0.01952275036147
"MMP9",432,0.100761905165231,0.103386222840675
"MPO",434,0.031078262670304,0.071730479507254
"MUC1",436,0.008583364117149,0.032340051742146
"MUC5AC",438,0.152259505422824,0.105846733902618
"NAKATP",442,0.04358125382372,0.068619760826209
"NOTCH2",444,0.008252748533803,0.037394545104616
"PD1",446,0.025946484383293,0.044719792140842
"PDL1",450,0.036109762571398,0.056349816509718
"PODOCIN",454,0.000996793083521,0.000984231117348
"PODOPLANIN",456,0.044324343961638,0.082199030431065
"RAS",458,0.024042747149005,0.013827568576421
"S100",460,0.015375635971211,0.01608935768369
"SIGELC-3",462,0.052891640032554,0.051071464087763
"SIGLEC-7",468,0.002314385942841,0.014269005065827
"SIGLEC-9",470,0.002361084051731,0.01397731763397
"SPARC",474,0.016264404915742,0.02827011316487
"STING",478,0.018722420213416,0.039068028406125
"TCR_B",480,0.097150324533313,0.102599254776385
